Fly,Light,Value,Genotype
48,On,0.193489687,UAS-ACR
48,Off,0.171991251,UAS-ACR
49,On,0.055846283,UAS-ACR
49,Off,0.075876816,UAS-ACR
50,On,0.103763291,UAS-ACR
50,Off,0.156523313,UAS-ACR
51,On,0.076068918,UAS-ACR
51,Off,0.314515783,UAS-ACR
52,On,0.066896484,UAS-ACR
52,Off,0.617324178,UAS-ACR
53,On,1.274040724,UAS-ACR
53,Off,1.040888569,UAS-ACR
54,On,0.19758849,UAS-ACR
54,Off,0.231822746,UAS-ACR
55,On,0.34867349,UAS-ACR
55,Off,1.137173407,UAS-ACR
56,On,2.43267639,UAS-ACR
56,Off,2.043532748,UAS-ACR
57,On,1.950759335,UAS-ACR
57,Off,0.314617145,UAS-ACR
59,On,1.545842029,UAS-ACR
59,Off,1.346301054,UAS-ACR
60,On,0.948366501,UAS-ACR
60,Off,0.224671005,UAS-ACR
61,On,0.670649204,UAS-ACR
61,Off,0.677504443,UAS-ACR
62,On,0.825513628,UAS-ACR
62,Off,0.724034303,UAS-ACR
63,On,0.282203875,UAS-ACR
63,Off,0.515041064,UAS-ACR
64,On,2.597572451,UAS-ACR
64,Off,0.74047341,UAS-ACR
0,On,1.734991422,UAS-KCR1GS
0,Off,2.220832262,UAS-KCR1GS
1,On,2.581544728,UAS-KCR1GS
1,Off,2.96875488,UAS-KCR1GS
2,On,4.997907781,UAS-KCR1GS
2,Off,2.817490646,UAS-KCR1GS
3,On,5.289109634,UAS-KCR1GS
3,Off,2.6858415,UAS-KCR1GS
4,On,2.099190616,UAS-KCR1GS
4,Off,1.078684816,UAS-KCR1GS
5,On,2.032449156,UAS-KCR1GS
5,Off,1.846870054,UAS-KCR1GS
6,On,1.480882011,UAS-KCR1GS
6,Off,2.95914463,UAS-KCR1GS
7,On,2.650218374,UAS-KCR1GS
7,Off,3.044622338,UAS-KCR1GS
8,On,2.665786188,UAS-KCR1GS
8,Off,3.304339963,UAS-KCR1GS
9,On,5.204150417,UAS-KCR1GS
9,Off,0.05798707,UAS-KCR1GS
10,On,4.761348017,UAS-KCR1GS
10,Off,2.533137082,UAS-KCR1GS
11,On,7.62983071,UAS-KCR1GS
11,Off,3.109371028,UAS-KCR1GS
12,On,1.648003681,UAS-KCR1GS
12,Off,3.014464081,UAS-KCR1GS
14,On,1.655058728,UAS-KCR1GS
14,Off,0.149639964,UAS-KCR1GS
15,On,0.983907458,UAS-KCR1GS
15,Off,0.32383688,UAS-KCR1GS
16,On,5.129574136,UAS-KCR1GS
16,Off,3.246979812,UAS-KCR1GS
17,On,3.107582049,UAS-KCR1GS
17,Off,1.566895306,UAS-KCR1GS
19,On,2.606025023,UAS-KCR1GS
19,Off,0.165767512,UAS-KCR1GS
20,On,2.072638795,UAS-KCR1GS
20,Off,0.55092533,UAS-KCR1GS
21,On,2.427815682,UAS-KCR1GS
21,Off,0.069823038,UAS-KCR1GS
22,On,0.442052515,UAS-KCR1GS
22,Off,0.097210161,UAS-KCR1GS
23,On,1.40606365,UAS-KCR1GS
23,Off,0.058508127,UAS-KCR1GS
24,On,2.966628459,UAS-KCR1GS
24,Off,0.033149839,UAS-KCR1GS
25,On,0.899488219,UAS-KCR1GS
25,Off,0.105374844,UAS-KCR1GS
26,On,0.97530545,UAS-KCR1GS
26,Off,0.629815812,UAS-KCR1GS
27,On,0.551862067,UAS-KCR1GS
27,Off,2.282283218,UAS-KCR1GS
28,On,1.92214119,UAS-KCR1GS
28,Off,0.400372857,UAS-KCR1GS
29,On,1.566831488,UAS-KCR1GS
29,Off,2.779477821,UAS-KCR1GS
30,On,1.505861235,UAS-KCR1GS
30,Off,0.417472884,UAS-KCR1GS
32,On,2.003089872,UAS-KCR1GS
